content_id,client_id,content_type,main_intent,impressions_90d,clicks_90d,clicks_last_30d,clicks_prev_30d,ctr,avg_position,days_since_last_update,model_score,baseline_score,rank,reason_codes,recommended_action
content_f0fe0faf8d39,client_f369cb89fc,keyword article,transactional,816,1,0,1,0.12,7.2,20,0.8732176302926163,3.3528195474300015,89,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_9bdcd789c811,client_f369cb89fc,keyword article,transactional,1753,1,0,0,0.06,3.1,8,0.8727015052534679,0.0,90,visible in search; meaningful impression volume,Investigate
content_e6be4a754962,client_434c9b5ae5,keyword article,commercial,332,0,0,0,0.0,6.8,8,0.8725305678115409,0.0,91,visible in search,Investigate
content_a652438565aa,client_434c9b5ae5,keyword article,informational,494,0,0,0,0.0,7.2,8,0.8721789449235366,0.0,92,visible in search,Investigate
content_eb4273bb86f1,client_434c9b5ae5,keyword article,informational,318,1,0,1,0.31,7.9,8,0.8721128749766542,2.882595551392422,93,recent click decline; visible in search,CTR/content review
content_639b9e356f82,client_bdd2d3af3a,keyword article,commercial,12,0,0,0,0.0,6.3,8,0.8717385547084855,0.0,94,visible in search,Investigate
content_7cd9b5db3ea1,client_f369cb89fc,keyword article,informational,831,4,1,2,0.48,5.4,20,0.8717242016390556,2.2412774802737365,95,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_aca17a7cc165,client_f369cb89fc,keyword article,informational,457,1,0,0,0.22,7.6,20,0.8713282959109203,0.0,96,visible in search,Investigate
content_b8ee53b39bb1,client_434c9b5ae5,keyword article,informational,212,0,0,0,0.0,6.4,20,0.8697379032488803,0.0,97,visible in search,Investigate
content_44924d362d90,client_8527a891e2,keyword article,informational,37,0,0,0,0.0,7.8,104,0.8693900942707857,0.0,98,visible in search,Investigate
content_5b1a71c1e749,client_4e07408562,keyword article,informational,904,0,0,0,0.0,12.8,7,0.8692520377976474,0.0,99,visible in search; meaningful impression volume,Investigate
content_946fbf519eb7,client_bdd2d3af3a,keyword article,commercial,45,0,0,0,0.0,9.3,8,0.868987682229339,0.0,100,visible in search,Investigate
content_6a9cd9678ddf,client_4e07408562,keyword article,transactional,2100,3,0,2,0.14,17.9,14,0.8673568534085273,5.100112467230001,101,recent click decline; visible in search; meaningful impression volume,Investigate
content_e3055c8ca910,client_4e07408562,keyword article,informational,1960,1,0,0,0.05,23.8,7,0.8668284344653836,0.0,102,meaningful impression volume,Investigate
content_03ed3e554fc4,client_434c9b5ae5,keyword article,informational,636,0,0,0,0.0,27.1,8,0.8667423274650812,0.0,103,model-ranked opportunity,Investigate
content_09a781f18604,client_e629fa6598,keyword article,informational,99,0,0,0,0.0,8.2,22,0.8663314824183863,0.0,104,visible in search,Investigate
content_5c7ccee8cd9e,client_f369cb89fc,keyword article,informational,566,0,0,0,0.0,6.1,20,0.8657763215772885,0.0,105,visible in search,Investigate
content_4f605060a428,client_4e07408562,keyword article,informational,1106,1,0,1,0.09,5.3,7,0.8656424101313946,3.5047044663543185,106,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_1b259c0f9659,client_f369cb89fc,keyword article,informational,478,0,0,0,0.0,33.5,20,0.8641926210414018,0.0,107,model-ranked opportunity,Investigate
content_b2db3553a878,client_f369cb89fc,keyword article,informational,463,2,1,0,0.43,9.2,20,0.862965328987297,-6.139884552226255,108,visible in search,Investigate
content_afa114dc512c,client_f369cb89fc,keyword article,informational,10277,6,1,4,0.06,2.2,20,0.8627358191695036,5.542656580531305,109,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_55139d0defae,client_4e07408562,keyword article,informational,270,0,0,0,0.0,4.9,104,0.8624482164298355,0.0,110,visible in search,Investigate
content_5cb45407a375,client_f369cb89fc,keyword article,informational,804,5,1,1,0.62,8.2,20,0.8619378917362541,0.0,111,visible in search; meaningful impression volume,Investigate
content_cf9f8ecdf9de,client_8527a891e2,keyword article,transactional,32,0,0,0,0.0,12.4,92,0.8614579929673147,0.0,112,visible in search,Investigate
content_24706e54a64c,client_434c9b5ae5,keyword article,commercial,321,1,0,0,0.31,7.2,89,0.8613636597134577,0.0,113,visible in search,Investigate
content_6bada6a81afb,client_f369cb89fc,keyword article,informational,1431,4,0,2,0.28,10.4,8,0.8612471634048556,4.844551565013728,114,recent click decline; visible in search; meaningful impression volume,Investigate
content_f155a0aa9e9e,client_434c9b5ae5,keyword article,navigational,2302,0,0,0,0.0,7.1,89,0.8612065773517925,0.0,115,visible in search; meaningful impression volume,Investigate
content_a4dc39c5f8f9,client_434c9b5ae5,keyword article,transactional,2901,1,0,1,0.03,6.3,20,0.8612046164012381,3.9865777167220666,116,recent click decline; visible in search; meaningful impression volume,CTR/content review
content_a4e31d98e83b,client_f369cb89fc,keyword article,informational,99,0,0,0,0.0,8.7,20,0.8610398314484405,0.0,117,visible in search,Investigate
content_d447a286b0ed,client_4e07408562,keyword article,informational,705,0,0,0,0.0,14.4,104,0.8605681850774477,0.0,118,visible in search,Investigate
content_ad5347f06460,client_8527a891e2,keyword article,informational,52,0,0,0,0.0,6.5,104,0.8604367230057726,0.0,119,visible in search,Investigate
content_73138e49f25d,client_f369cb89fc,keyword article,informational,9618,3,1,0,0.03,2.1,20,0.8603672839038465,-9.171495588152615,120,visible in search; meaningful impression volume,Investigate
content_d4c48465c0af,client_f369cb89fc,keyword article,informational,443,1,0,0,0.23,6.8,20,0.860285813231511,0.0,121,visible in search,Investigate
content_31c4d526956d,client_434c9b5ae5,keyword article,commercial,330,2,0,2,0.61,7.5,89,0.8602181043788081,3.8680789169180425,122,recent click decline; visible in search,CTR/content review
content_e0cd6eaa019e,client_8527a891e2,keyword article,informational,35,0,0,0,0.0,7.1,104,0.8601899532866382,0.0,123,visible in search,Investigate
content_438be6c5d53e,client_f369cb89fc,keyword article,informational,670,1,0,1,0.15,6.8,8,0.8596162117776698,3.254384568485841,124,recent click decline; visible in search,CTR/content review
content_875615513a2c,client_f369cb89fc,keyword article,commercial,644,1,0,1,0.16,3.8,20,0.858935810219673,3.2346251583978862,125,recent click decline; visible in search,CTR/content review
content_33adb9b7c91d,client_f369cb89fc,keyword article,informational,2493,2,0,1,0.08,12.5,8,0.8577431635281544,3.910821563119991,126,recent click decline; visible in search; meaningful impression volume,Investigate
content_aefd4fae2c86,client_8527a891e2,keyword article,informational,160,0,0,0,0.0,13.1,20,0.8576472020257071,0.0,127,visible in search,Investigate
content_a786b53fda3f,client_f369cb89fc,keyword article,informational,83,0,0,0,0.0,1.6,20,0.8573901355844135,0.0,128,visible in search,Investigate
content_300c70929b3f,client_8527a891e2,keyword article,commercial,37,0,0,0,0.0,12.1,8,0.8562978691830557,0.0,129,visible in search,Investigate
content_700de55b1459,client_4e07408562,keyword article,commercial,1258,0,0,0,0.0,14.5,104,0.8560869701317891,0.0,130,visible in search; meaningful impression volume,Investigate
